LSOA11CD,PTAI
E01000503,245.1143952
E01000504,270.9727349
E01000505,170.8721268
E01000506,57.20643314
E01000507,18.79113061
E01000508,72.68980085
E01000509,291.9708613
E01000510,757.9477801
E01000511,459.3487048
E01000512,95.32367315
E01000513,74.74847608
E01000514,73.77625148
E01000515,120.611354
E01000516,7.646273587
E01000517,2.44455248
E01000518,5.148013722
E01000519,14.81706932
E01000520,21.74135499
E01000521,20.21793649
E01000522,74.83273728
E01000523,716.2053871
E01000524,246.4033937
E01000525,54.96475944
E01000526,100.9527828
E01000527,214.037349
E01000528,162.0411592
E01000530,38.51904019
E01000531,333.0114203
E01000532,801.5252773
E01000533,69.93863488
E01000534,264.0737127
E01000535,22.64615406
E01000536,208.6228858
E01000538,145.6310221
E01000539,521.9302002
E01000540,310.7839281
E01000541,236.1522351
E01000543,54.5294997
E01000544,57.63319131
E01000545,161.0882549
E01000546,201.5564602
E01000547,289.3504927
E01000548,146.101957
E01000549,330.1752508
E01000550,53.79760633
E01000551,200.8610822
E01000552,291.9992961
E01000553,6.939535682
E01000554,3.532748562
E01000555,411.9703867
E01000556,6.494542595
E01000557,835.7981589
E01000558,219.2214272
E01000559,14.83544298
E01000560,40.42318416
E01000561,124.9318729
E01000562,9.209733166
E01000563,45.54915853
E01000564,9.324161502
E01000565,183.469205
E01000566,674.8495635
E01000567,514.0517996
E01000568,6.958068606
E01000569,8.278354277
E01000570,11.1471504
E01000571,324.4616306
E01000572,19.357743
E01000573,8.741807346
E01000574,548.7586189
E01000575,106.2284566
E01000576,67.69942953
E01000577,2131.733815
E01000578,408.1688111
E01000579,300.259713
E01000580,472.462351
E01000581,182.7159525
E01000582,168.5978649
E01000583,124.604917
E01000584,280.0300633
E01000585,538.158195
E01000586,33.62185095
E01000587,67.15366136
E01000588,46.69566534
E01000589,58.53410036
E01000590,339.8804761
E01000591,330.9358894
E01000592,3.656951959
E01000593,37.76817142
E01000594,43.8695978
E01000595,46.39916103
E01000596,546.8478371
E01000599,525.5000897
E01000600,148.1513709
E01000601,199.1826569
E01000602,51.71603356
E01000603,893.3917752
E01000604,82.26574192
E01000605,1032.849847
E01000606,77.6464395
E01000607,21.82916402
E01000608,121.8133014
E01000609,1387.643187
E01000610,93.27250371
E01000611,130.4364988
E01000612,74.7162013
E01000613,111.9460919
E01000615,104.4866905
E01000616,970.5494407
E01000617,117.2906376
E01000618,143.9874941
E01000619,412.6946019
E01000620,29.41013564
E01000621,106.3200443
E01000622,178.2874978
E01000623,21.87549292
E01000624,3.523761332
E01000625,59.88453097
E01000626,5.387819037
E01000627,0.32758288
E01000628,96.97288043
E01000629,132.755022
E01000630,0.498404011
E01000631,69.55251048
E01000632,131.5237129
E01000633,19.22988145
E01000634,153.161459
E01000635,45.88813115
E01000636,3.148072298
E01000637,111.5034039
E01000638,5.346628261
E01000639,108.6301598
E01000640,7.78346994
E01000641,10.12142943
E01000642,25.77345904
E01000643,101.0381919
E01000644,20.97315364
E01000645,17.74546993
E01000646,38.54899684
E01000647,19.97616864
E01000648,2.078592933
E01000649,7.432326077
E01000650,117.8153552
E01000651,2.459166755
E01000652,7.091933184
E01000653,33.01508766
E01000654,33.65160424
E01000655,623.5386588
E01000656,25.59365062
E01000657,10.35752816
E01000658,173.1944027
E01000659,18.37129829
E01000661,19.87483292
E01000662,204.9572776
E01000663,196.9503629
E01000664,107.5498604
E01000665,23.86509649
E01000666,19.32653546
E01000667,5.566858553
E01000668,47.12482918
E01000669,7.988010972
E01000670,0.187044535
E01000671,103.9156971
E01000672,159.8543613
E01000673,27.82200158
E01000674,235.0555136
E01000675,30.97673611
E01000676,251.3249937
E01000677,17.31060059
E01000678,60.50594418
E01000679,481.3344441
E01000680,68.79090357
E01000681,20.092329
E01000682,396.9739995
