ward,dow,slot,officers_alloc,hours_alloc,benefit
Brook Green,0,6,100,200,0.4915509282181176
Brook Green,5,6,100,200,0.412268379249323
Brook Green,6,6,100,200,0.36469948795711155
Brownswood,4,6,100,200,0.5688418574579025
Brownswood,5,6,100,200,0.4875781421649573
Brownswood,2,6,100,200,0.39006328992551026
Brownswood,3,6,100,200,0.3900627495029444
Bruce Castle,0,6,100,200,0.18056121691024826
Bruce Castle,2,6,100,200,0.1805612099265553
Bruce Castle,4,6,100,200,0.18056095981693765
Bruce Castle,6,6,100,200,0.16891175818305382
Brunswick Park,2,6,100,200,0.635208473221637
Brunswick Park,5,6,100,200,0.45218311013178847
Brunswick Park,4,6,100,200,0.3983511882216792
Brunswick Park,3,6,100,200,0.3768187907558261
Bullsmoor,2,6,100,200,0.2748728164452068
Bullsmoor,4,6,100,200,0.27487235915077407
Bullsmoor,6,6,100,200,0.21700535173052168
Bullsmoor,1,6,100,200,0.2097711471966564
Bunhill,2,6,100,200,0.39965875737450096
Bunhill,4,6,100,200,0.3741490639380217
Bunhill,6,6,100,200,0.34863835298037166
Bunhill,3,6,100,200,0.2891153356777519
Burnt Oak,4,6,100,200,0.65308626400002
Burnt Oak,0,6,100,200,0.4975891767638017
Burnt Oak,6,6,100,200,0.4898148019643324
Burnt Oak,2,6,100,200,0.4898140652000443
Bush Hill Park,2,6,100,200,0.4956027740921344
Bush Hill Park,4,6,100,200,0.4233273724951599
Bush Hill Park,3,6,100,200,0.289102133031453
Bush Hill Park,6,6,100,200,0.28910163824835045
Caledonian,4,6,100,200,0.526722885787109
Caledonian,0,6,100,200,0.4881822159180596
Caledonian,2,6,100,200,0.4496415738394663
Caledonian,3,6,100,200,0.44964149182314955
Camberwell Green,4,6,100,200,0.1329303943617932
Camberwell Green,6,6,100,200,0.09495031511084877
Camberwell Green,3,6,100,200,0.07596061668539873
Camberwell Green,2,6,100,200,0.07596040095999236
Camden Square,4,6,100,200,0.3498867398598512
Camden Square,2,6,100,200,0.2533658134592493
Camden Square,6,6,100,200,0.2413014563021918
Camden Square,0,6,100,200,0.21717130935709048
Camden Town,4,6,100,200,0.4071280664220985
Camden Town,2,6,100,200,0.40712774828502724
Camden Town,0,6,100,200,0.3574779880125366
Camden Town,6,6,100,200,0.3475483238052988
Campden,4,6,100,200,0.3637631238681613
Campden,5,6,100,200,0.23096148697854033
Campden,0,6,100,200,0.21941357668617045
Campden,6,6,100,200,0.20786477116168514
Canary Wharf,4,6,100,200,0.5670291425789495
Canary Wharf,2,6,100,200,0.4650915172570455
Canary Wharf,6,6,100,200,0.3758961934967596
Canary Wharf,0,6,100,200,0.3440406244189366
Canbury Gardens,4,6,100,200,0.18537747630831608
Canbury Gardens,0,6,100,200,0.15889496157016936
Canbury Gardens,5,6,100,200,0.1588945171392501
Canbury Gardens,6,6,100,200,0.15006706060520209
Cann Hall,5,6,100,200,0.6626884060550134
Cann Hall,2,6,100,200,0.602444793962391
Cann Hall,0,6,100,200,0.6024438100094904
Cann Hall,4,6,100,200,0.5120773640599385
Canning Town North,4,6,100,200,0.4540007505082035
Canning Town North,0,6,100,200,0.4153628769699319
Canning Town North,2,6,100,200,0.4153625303844569
Canning Town North,3,6,100,200,0.37672449530358504
Canning Town South,0,6,100,200,0.10528286686769595
Canning Town South,4,6,100,200,0.09325003792762694
Canning Town South,2,6,100,200,0.08422643438321525
Canning Town South,3,6,100,200,0.08121873658105755
Canonbury,3,6,100,200,0.21084874839468323
Canonbury,2,6,100,200,0.206363237483142
Canonbury,4,6,100,200,0.1794465330054669
Canonbury,0,6,100,200,0.14355724324866997
Canons,2,6,100,200,0.09832234050512902
Canons,3,6,100,200,0.08603171042997274
Canons,6,6,100,200,0.08603155295860072
Canons,0,6,100,200,0.07374132567766264
Carshalton Central,6,6,100,200,0.2958059096021416
Carshalton Central,2,6,100,200,0.26167491355387296
Carshalton Central,1,6,100,200,0.25029773163245633
Carshalton Central,3,6,100,200,0.20478893322759253
Carshalton South & Clockhouse,4,6,100,200,0.20756019817641516
Carshalton South & Clockhouse,6,6,100,200,0.19891254706294773
Carshalton South & Clockhouse,0,6,100,200,0.14702177289126467
Carshalton South & Clockhouse,5,6,100,200,0.1470217414690472
Carterhatch,6,6,100,200,0.27227332480288413
Carterhatch,3,6,100,200,0.21062635447673386
Carterhatch,2,6,100,200,0.2003520489033728
Carterhatch,4,6,100,200,0.20035179159169977
Catford South,4,6,100,200,0.18753743337646606
Catford South,6,6,100,200,0.16915140673296922
Catford South,2,6,100,200,0.15076563826218048
Catford South,5,6,100,200,0.13605702378486922
Cazenove,2,6,100,200,0.21773894022292845
Cazenove,4,6,100,200,0.20413069044538792
Cazenove,6,6,100,200,0.20413058151253818
Cazenove,3,6,100,200,0.16330479133063916
Centenary,0,6,100,200,0.09950685955173376
Centenary,6,6,100,200,0.08593741131809372
Centenary,4,6,100,200,0.08141421344891134
Centenary,1,6,100,200,0.06784574719928031
Central Greenford,6,6,100,200,0.39349800223556436
Central Greenford,5,6,100,200,0.349776601463955
Central Greenford,2,6,100,200,0.33884600854459845
Central Greenford,4,6,100,200,0.31698468280239794
Chadwell,2,6,100,200,0.1928276844452296
Chadwell,4,6,100,200,0.1811417842871797
Chadwell,6,6,100,200,0.1460819014646462
Chadwell,3,6,100,200,0.14023861804810064
Chadwell Heath,2,6,100,200,0.14228648413180478
Chadwell Heath,6,6,100,200,0.12704190072753196
Chadwell Heath,3,6,100,200,0.11687805117041843
Chadwell Heath,1,6,100,200,0.1168777697073403
Champion Hill,2,6,100,200,0.08971178506891092
Champion Hill,4,6,100,200,0.08373067496844541
Champion Hill,6,6,100,200,0.0777504809698738
Champion Hill,3,6,100,200,0.07176975320598102
Chapel End,2,6,100,200,0.45673249562390006
Chapel End,3,6,100,200,0.36304362918035227
Chapel End,0,6,100,200,0.36304345167864294
Chapel End,6,6,100,200,0.2927771923040783
Charlton Hornfair,2,6,100,200,0.10355573280912501
Charlton Hornfair,5,6,100,200,0.08943486290572962
Charlton Hornfair,3,6,100,200,0.07531368397655124
Charlton Hornfair,4,6,100,200,0.07060653729203722
Charlton Village & Riverside,3,6,100,200,0.2634249182659509
Charlton Village & Riverside,0,6,100,200,0.2634244661573662
Charlton Village & Riverside,1,6,100,200,0.249560346831461
Charlton Village & Riverside,2,6,100,200,0.2218311528032279
Chaucer,1,6,100,200,0.570446343370901
Chaucer,2,6,100,200,0.5561850842234947
Chaucer,4,6,100,200,0.5419245392490775
Chaucer,6,6,100,200,0.5134024714939401
Cheam,3,6,100,200,0.1374727627758961
Cheam,4,6,100,200,0.11837880799940226
